,mz,rt,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80,sample81,sample82,sample83,sample84,sample85,sample86,sample87,sample88,sample89,sample90,sample91,sample92,sample93,sample94,sample95,sample96,sample97,sample98,sample99
feature0,23.320761634062613,12.71357717114292,2.9089021308324625,22.21103719264113,5.845434914839585,15.485572421224303,18.182291100917524,23.705902294655715,49.26371656126081,3.622680508145227,2.4589926532951214,34.45094997685519,24.35067364781434,6.386944729701577,11.134539418988222,2.161846364288115,5.29998794877192,6.869679665024834,5.890627808665237,1.1632166923293523,0.26774933259938927,20.1092085679406,19.77665623610661,9.959434154966527,3.7780512869388487,5.875000338228772,13.279329004708543,20.068283676546383,24.555750295803374,20.783990796877458,35.430169936862924,4.567891602591997,3.4091482503659885,4.456287886152442,13.782478609791642,5.256328052486098,10.096840978061248,12.795158121542293,14.589933316874944,14.008373822131082,3.6217546445238424,2.8360108669295094,7.715501399890959,6.549257590962102,5.5027286382775475,5.926437356594981,2.9306020100951153,2.831866027142633,1.00120276697469,5.15707918546766,0.9120313709257819,0.4344217000602863,0.7894030205609881,2.9878668456006094,38.437306984168515,23.236199241765423,4.735446048572986,2.652485203630194,13.243144902324005,2.3572754772065556,7.34221687521295,29.300715552031388,10.858138356200973,3.5911950097348773,1.385522339684222,22.76321754182108,2.4193750533148224,3.047056609544047,7.894031534810825,14.780140438412081,2.656422571597647,1.006765384529045,8.788124716840608,0.5672963638165593,39.57633767410853,18.235489736838847,1.8234733597392556,0.8653822041983581,1.657852733722609,4.122190384758909,2.901874375770053,55.62418694499922,0.08964020957404767,6.58861378032544,7.248748872347651,3.0165772125349726,0.6450849032271166,0.6983058898635465,4.944099008839716,27.753244862573464,2.001804855767469,13.253731395223053,0.8856056726696775,22.08627743827227,3.954587030663688,11.36005773524335,11.180697964348889,16.32960011137473,18.01178878967066,7.472732845973847,11.999826727258561,2.700370470112143
feature1,8.255093209332177,74.86660422377783,0.5330342210928789,14.428958204829918,7.244434568990746,17.088114760530896,0.5328654834099895,10.031928211885434,25.798527155503685,4.582640500091104,2.114976856392889,1.0340541320449168,2.617155039379104,3.309983477054815,7.269953238383189,6.747822544638879,8.69164553767179,6.9632823434768065,1.9587009346170534,0.11388662365580891,1.9270224736011135,11.719893469733906,32.93303217275745,16.422685248498663,11.899162790670612,4.840013618199746,2.7810212392187377,10.321096541319479,7.016486859168633,4.02028225373444,5.4449663615447434,39.85592700530134,14.210607769067995,2.3858637691181874,12.821004642631372,1.603474349881116,17.48083395275558,3.716375249846201,10.022371632283797,2.3775616193207942,15.532964665819113,0.7331578272730312,11.900269691410148,7.444343291892499,4.558435926634806,12.330748801566498,2.4652142323788286,0.5759821891189197,7.0155756173186585,3.66039887073915,9.738557927278222,3.2874853650987395,16.996484794346088,22.578437971881357,4.4742408446649815,2.8976480452663402,2.330962082160929,1.3832976839618683,14.462476580028852,2.6270653727289455,0.1980815708429061,13.449355941122175,2.3645156912867735,16.13343710052034,28.272899290612422,0.7178051068889614,32.849914208250425,8.412291604458064,4.940073063253618,13.13058123460356,9.117226121376063,12.971285773363856,6.556992138651685,10.827751711657106,10.55414984658437,15.752096711226374,3.769701687214924,0.6480785515573827,14.343862658121074,14.711926845526369,11.185484466480563,2.0107809791820994,26.902060119249143,10.460078218085652,0.8979157124107519,17.146451492969604,8.103809115350217,9.651623454898093,6.969254532904196,16.361756525790444,4.160665974185004,18.357925316131475,15.28788035275416,1.9039548245782947,23.880429817350674,8.575238843333253,14.930226908318087,2.0043857129448654,18.652718600780847,2.031464974998988,2.25734739192305,5.025006098551117
feature2,8.228225235159826,90.58781007130996,1.0671531568335726,66.29203538064199,18.58408818008859,20.744092483138697,17.23214780417178,5.960848665309188,18.92862804658301,2.91977367434808,17.690435224474882,8.54960871290525,0.24063745846455475,4.563912016719708,4.858077358449885,2.204688550030859,2.382797326442436,18.671690741916308,29.13644578101152,16.62320588037591,3.6020250833202865,0.13684142677873223,6.1074656953808795,15.144424650317504,1.0949057453600926,16.708251810026507,3.1515746953992245,22.08526590376884,12.320041421973134,0.14390272097640933,3.864932543779428,20.692900393821773,2.5655106602286,2.3549240239431843,8.83490589685733,3.9630263897740474,3.1501374216859497,4.314587568594319,3.8514743602967476,2.4479267824657227,9.92783004314221,15.205872483902548,0.013595395696656997,6.914059092034438,2.75486606705413,11.284505181442839,4.0732784612974795,25.021011488415642,13.103795238803496,6.24021138383882,21.347296131936403,0.37777657304526713,0.4832348281842881,6.804623182695641,13.976258199128775,1.0630359255646946,4.859482621360896,18.295983867350493,4.274709604267563,2.796655203393077,18.484725556724428,5.6518020072137904,8.077551802187218,12.431048077343103,9.175534642768344,2.8111077020752178,0.07245086827464972,5.140209837138486,10.334681090899224,1.896309981921883,1.789430825277834,1.18874531953254,1.7901317684801739,1.9835207881789105,20.604718631925586,5.46271342951107,0.767960789264557,26.747578741817897,13.125128104149454,24.361967267538873,28.04757402317227,18.401993450148403,0.750639397569377,1.4532458886154846,31.35571928780704,36.64383319706827,17.27947399058615,0.7560401890145338,0.8962281549997902,2.025918770957425,9.326734313582735,39.88994163338374,10.94726318369525,13.363354245446219,21.365595922681628,4.488885902432776,12.948818135889875,3.733632226328093,9.484608881126846,44.99595167842774,36.67077958551726,3.9193410670399316
feature3,66.56147304245592,190.48074417636676,10.880876842700886,10.665087690365896,3.39539378029252,14.421418825419183,2.057419134435663,33.60724023228249,10.557681270710608,4.4582296912749895,23.532651386476722,5.424259913012413,4.433663106283125,4.614884878886668,9.742174861056123,15.751896755156222,0.3642139068603451,45.037304368601674,12.39507268213228,4.206376204998864,12.7669278324358,0.3783518472799347,9.896495742933794,5.974105319024321,6.829888960491815,42.163118003750945,4.449934257030746,10.08565507295607,24.593346737243177,13.663880862855386,1.7499727144312986,2.6247576970483406,1.4626912919925306,17.20224522212153,10.663198027321332,3.942714863102139,11.493313251727233,15.73989539500976,8.46746703171497,17.540253676319683,2.3193998901420136,25.919731954907405,27.749531150210416,5.89318750892692,2.3401744905787516,9.893361571093925,4.345795891969249,1.1699805283412035,1.9479331304714878,23.489711923629617,4.775342885605572,7.1304194332366135,10.510727287288619,11.679128587452354,3.3013140707492816,5.847983182649408,10.307050731880054,5.06041566861221,28.74900192803336,0.9536345873668464,0.7609729696436764,9.806552089735199,43.070421404051416,6.446328844403295,1.8002321238238284,0.8763464616432047,10.24913960311902,1.2402235755576911,10.189991015962224,4.239680798527519,0.552299240257824,3.7550216433940804,9.23009055852516,8.088522444899644,16.914716656378094,9.95672128764382,11.856373220546478,8.623173429468828,2.367450711957055,6.876700071767803,2.3958492857886844,0.9019438338747431,5.7018509007914275,2.2191499870047697,9.85513345115031,7.76546822554902,0.898502251547536,2.1944063524570208,7.4629425120666575,12.036029386063712,9.273991358986507,4.0460480326162855,3.338931825785366,6.2913589058088935,8.165446728414622,0.20579144649763834,1.3589605422085895,2.2107957189838148,4.272576148282362,7.997990467773455,24.123031881212647,17.82298595415894
feature4,68.65713752451414,61.41620313412044,0.33538179354930064,12.494099252695275,0.912909705223746,27.607094530706306,3.7768012771671104,13.997126137405955,9.16523983361695,1.475884309156398,10.056767269639657,9.376292154774443,4.11987027527292,32.46542434504802,3.0066102729649247,14.236623791007585,2.699595235088576,11.910777336903974,20.40705358355675,10.910852131492767,6.650367586593079,0.24530381777250482,4.446084418335744,10.362692682379322,2.506173481370447,4.592300317949583,12.429015119309692,0.8802482444124703,40.09872234855721,17.367469338126043,7.748098949058042,18.463270121741942,2.5187227888804813,2.2123051254337684,8.298861351029505,2.4283596821151217,0.8172945228712104,20.473540070240798,20.138312306333034,4.860529922652336,8.602388488966756,24.37891963755446,9.125548776198812,10.720693212931794,5.273429197163505,12.88308676829522,3.5301580449056162,3.539531477741934,3.6389114091573393,28.503419709960056,19.22125807934058,3.5074843744529844,9.417574248884101,5.4565306294207385,30.72643800222172,6.288855341631069,1.251229095471825,7.2369967905432535,23.175036042215456,3.8186570324714015,3.2720157503770597,3.1101539634862316,5.784860165011665,6.854546115694654,3.2732672323887044,0.7822073668939236,18.145861187744224,8.510898329273285,2.4631186522215174,21.958579405986,6.210287657004226,6.1372252817735,8.553250878929209,6.928790102871499,4.800545271853356,6.665604880016385,16.7859761160406,3.85275929326163,4.256080594320468,1.2428746516749898,8.076905141632004,0.8625470813046379,8.532429037359016,0.9533615660542382,0.8524109820627583,4.057553181752995,56.074842484901154,8.553026280360966,10.856996035055598,2.2188694521112216,23.3114142418442,0.770764651904335,11.948636745122528,0.6876121222544507,7.054189652606471,8.129798269012184,14.749490989388864,13.524115633416685,4.03627884175858,0.5276326968384594,38.06107052674787,12.622645814535986
feature5,35.45030137694559,135.13195156720604,2.3289050559219944,23.489651175208685,0.8025463614879877,12.842415132957772,10.505931149313668,18.81147276423055,8.26595198486526,4.902118407127834,4.931791233547557,29.60903100360246,3.889280328289795,1.8775434747717792,13.836218745860101,5.551979054701803,3.7506380440320997,14.085574243281417,7.184652413665638,3.516358525162861,5.097403234950426,15.879190419513353,9.807447996186902,3.3004829760426975,23.69068585686664,0.06569188414523038,8.211288874288625,2.710205345041494,13.148117235175585,15.40509480018594,2.58462079595904,15.548508496709172,9.111400615913094,2.201283903950829,6.098988564111111,17.9000767846561,2.405980302394041,3.1420129005390396,2.69926272062171,4.746154532362962,4.219699255397592,1.182420185848713,11.363377042337559,10.242616142409686,11.191837699181505,13.3197589262548,4.820066020969601,2.215042259918676,0.13370315160507848,0.6581573487794224,8.486011604196333,9.003597466537563,2.818843754137312,12.776547420037554,1.0539901747828533,23.109661646640447,10.990339370860568,5.609176394668504,17.741506852323948,1.4053380839156042,23.877225622728186,16.897651380196457,4.724894825167153,0.2640230205751457,4.574491446131488,26.67262478046949,7.352156242062168,3.126965502128942,5.302399432039123,3.886169773015661,12.376508543865619,16.53672630284747,2.0743556723111793,16.335426591551112,0.666764475973282,3.4802996362436636,12.97871425941296,0.8070974070931913,7.921077331955654,8.551358374069155,4.23498061137975,3.146993528622328,33.60781050869141,4.643981979469333,4.114783361968841,7.504054553690779,22.67953279202384,0.4320693402799237,6.945317566326913,2.5551252750837823,14.182280875794591,0.17643073536968001,5.893540520162314,2.985832249924944,6.311268770428425,6.774570716451747,40.87991506476243,6.684692982476369,10.64414339713358,6.346551797979517,6.686350307774958,7.050201099947229
feature6,46.035222707924525,45.402658294656064,17.123953585670513,10.15877174737441,13.849418594882174,5.488365615077987,14.213829503683852,24.86933301849389,23.7311826896904,3.5078983784823876,3.107862900630294,24.96002151701388,3.3516363389465074,3.537758383710292,6.992321143938202,14.171719029148086,2.1079663676765286,6.302764019115123,2.981574921790058,3.550181384736017,11.67899182570996,0.057250979466528316,4.673486183884758,0.3186762057295031,5.998171423453812,17.130052118712737,22.67604557616627,7.11886424426374,23.644902560101034,11.301608807309503,7.3958235994715595,1.965837730803872,3.706681958863809,12.57898764052964,10.566790162103523,17.380160728885258,18.923940346656927,1.6652930972553643,3.812613864575911,8.052057339976638,2.0592473697106635,57.93697054474271,1.5706715494068444,1.4718632520953199,1.4857901819906805,7.169933782889154,0.3575495206995879,23.627826199392032,1.4949477446684205,1.3124335654597066,8.368779813563378,6.642219551364292,5.209321333889968,3.6832712606718503,9.214436069792896,0.05575421592617334,0.2572975840692741,35.225626910257695,0.08405674759906993,7.573558407415369,14.60798540205684,17.57971550304521,5.659396935493763,12.581282808210021,3.476850269438474,22.545365412800777,1.0838521078390693,1.2221663858403213,0.06583663735339888,8.654393572642796,23.399850769060933,13.754790403669027,9.57125593979033,24.336406680700428,4.68585507897593,17.00733749734294,6.068101288543116,0.958188039255343,18.882536509708203,1.2109412687291012,41.568081492450034,5.4321745549202705,6.382986522197668,1.036715115233209,4.207430304505608,12.440806313524464,15.422518887723369,3.68709130991165,9.657245803611975,35.10835869983801,22.76045488612648,6.4004467785464305,9.634403968336603,11.376826093523945,10.973698971725717,10.599512439265924,20.812552030996105,8.9784303497615,9.139125093344267,0.6201123880623948,8.312739827699797,4.810831658243134
feature7,86.66939325561572,194.06236307228784,21.42603090961636,1.9992203849966912,0.32198090582275674,1.0489962653768292,3.353540289873989,7.7940749004460494,2.4148024960349517,8.229861623662968,16.658814607517094,4.468752655173094,2.793263861340555,4.9405843803901135,7.335485394091272,12.192499119291845,39.78265102694948,9.717894970201161,1.2164442485330103,1.1244979230352772,0.4642165404882004,35.08178537805834,10.142838249212986,16.014395604505502,0.809110593684907,1.7437782173164926,5.388848133559073,0.43576797631054054,2.2720041122638905,4.653040296241578,16.208727967470843,6.3205020513535,12.3673964693645,0.24246101271275544,19.88416921778303,2.952233305571087,3.5530827830263267,2.5792459796525984,5.885601020735369,1.8592195858325977,37.52373436859964,1.6121454633717016,18.718935269855464,0.49852678437996506,4.034009714276933,18.114798418453017,9.207752044602865,10.046599402925784,2.6769323098545077,24.38111031838076,9.941972683137331,3.3710906908418696,1.178248536481893,3.298560183658541,0.28873368700503255,18.638718604647124,1.716076557117794,1.0219239308805337,11.125217788883017,2.923614409699657,17.30130682266015,2.134541576402402,8.333126906685552,9.870801746214251,13.053731255927957,10.0487141040873,19.22146819542576,29.660147595103894,8.209195546598721,15.686804941955327,12.866363209707279,0.5488086874379292,4.807244389483791,2.6688300946275567,1.705514817680101,13.818212850478917,3.469620981771193,13.908213327465814,1.753543319786604,1.9389627438567993,3.769244226690301,13.033440860974059,26.449256820566678,5.100726283238063,9.47003888729806,2.623341636663394,2.6463119957391705,10.865713245193572,8.494091795177956,1.798207002355349,5.1663437420670455,8.839662054531738,1.0191675488106693,4.218512246203889,5.172891254463366,12.30267676959704,1.547476049295631,19.067469916736954,32.920245613902,13.86056228562769,3.1138742292757673,6.900236774890686
feature8,2.0513508892364696,146.81266083849735,5.834766301985787,14.360477101797105,11.430147628735863,8.40680025001914,5.3975587093645805,2.627370121209622,13.299405748572442,17.163363385466624,1.323114107830621,9.934344308956133,28.673959524897256,20.419956750863967,1.0307670517045977,9.686237112530835,21.549573946967353,17.9243834441672,40.239845774773684,2.6574423585788405,39.234026316343176,57.91844031418616,24.604491245484056,2.1593845880999263,4.314706064300712,8.362511523249145,3.327815671923999,6.56444464754088,23.138284079638737,1.7900637925240415,1.7869858150944866,9.269452935917991,21.849186028284375,8.079240539990089,3.222210418177509,28.00976575258023,6.0647460356944025,7.758746472427019,4.119314100888679,10.115537543523732,9.986388563822333,0.05326036157143409,3.2935036766809005,4.306716835338575,1.1419854004387768,3.1934376933884625,1.553972787152297,16.124891657540395,14.545715673052,21.799354009965235,0.9315526431204851,0.40265497518423354,17.681878480737353,2.927374187904129,1.235091383631433,2.881614284095608,1.9835439576294787,2.0848551985801436,24.69862416090435,21.632266321774758,0.2901477753247004,59.39958429898566,2.019873191669324,12.910071190540116,0.09924106347734848,6.686972504632109,12.914957225859087,0.9364286902084701,9.355832777460032,1.301896540828825,10.808042327131995,1.9921558360583516,10.364238955291487,0.7954245937706561,15.933075822930098,12.211862104765228,1.4075242320378525,5.262030680023676,5.976943693411957,8.71445961025398,8.502786771385827,7.5907905398688715,7.609920970392824,11.884918237236416,2.0529428247043398,3.176856987176808,11.338314736916795,22.769022195781897,57.92475744963581,2.8817839636091884,0.4893901754633304,16.322124907598685,7.960268611845356,9.97010267268411,7.0324816379747235,4.950195222454923,2.172961389166041,43.40085997092154,6.48177391312334,4.620452216688975,16.681099322473727,10.959386447448011
feature9,1.1840896468999995,41.97524528579668,5.591479929403691,7.050183958490779,2.215669186895524,2.860388178521314,0.37400847709534824,0.5802178634344236,11.50169868605939,2.9980815562103578,10.639021631050394,26.809640896054034,2.9359362715685706,9.312306519694848,3.5379183051906544,21.710784220318608,21.183906129016687,0.6458172304457149,0.4717333990359044,24.897466515704224,6.014593123155823,3.5799615765488513,19.91020032999568,5.146944829082928,13.061068095934655,3.2399678776681147,0.5665416618256024,14.330741783846426,8.108351733845552,11.083846084318584,14.788254170828562,10.657430523276295,1.8952952133866008,0.6488657709534955,1.5652585140680255,10.022323772127258,5.789439126735902,9.448074872688853,0.2700399275993213,2.2867100245444405,0.1902805261941942,0.5619809152404744,4.6249954362061505,25.766690324866627,1.5882377339806755,5.282725871879075,11.830417175228513,14.395959369468443,8.102839369934248,7.732736096807631,2.8988070948505484,32.93689038263006,6.439899665710165,37.71047819437774,3.506344230100527,12.624610986603557,5.875992424833023,3.5357447689263677,4.859247908696302,32.11900873326599,3.9720722775442145,12.384756347323073,4.341612170238879,4.435825338412556,18.10303683353937,13.277720845216328,20.593732134824595,0.7273570234026931,1.7371217610990994,25.59354900258746,16.1235370765082,11.652816843307438,20.61753146480808,73.38638353435316,2.779044401802305,4.189460264227371,9.50940025270993,10.186205935965145,24.63273548250619,2.1779995537669548,13.597341881373687,0.542883241099013,1.4673344711326068,7.635812066115197,22.591826334830742,6.449158323027019,13.204027235784704,2.7591549451330613,4.878817401140862,14.414793105295056,0.00836755140621372,13.00305115172969,8.086368322208683,4.2121806791959635,1.0554051849455846,26.457646586585078,6.106242963229654,4.365518608107549,5.646015989539129,12.228256213364082,3.4374978238933824,5.896736827023875
